time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput
2019-08-29-16-53,0.0,0,1.0,0
2019-08-29-16-54,0.0,0,1.0,0
2019-08-29-16-55,0.0,0,1.0,0
2019-08-29-16-56,0.0,0,1.0,0
2019-08-29-16-57,0.0,0,1.0,0
2019-08-29-16-58,0.0,0,1.0,0
2019-08-29-16-59,0.0,0,1.0,0
2019-08-29-17-00,0.0,0,1.0,0
2019-08-29-17-02,0.0,0,1.0,0
2019-08-29-17-33,0.0,0,1.0,0
2019-08-29-17-59,0.0,0,1.0363750010728836,0
2019-08-29-18-18,-2.6551724137931036,0,1.4689655139528472,0
2019-08-29-18-19,-9.96551724137931,-1,2.209603449393963,0
2019-08-29-18-20,-4.241379310344827,0,2.026706903145231,0
2019-08-29-18-21,-0.5862068965517241,0,1.4542931030536521,0
2019-08-29-18-22,0.0,0,1.0,0
2019-08-29-18-23,0.0,0,1.0,0
2019-08-29-18-24,0.0,0,1.0,0
2019-08-29-18-25,0.0,0,1.0,0
2019-08-29-18-58,0.0,0,1.0,0
2019-08-29-18-59,0.0,0,1.0,0
2019-08-29-19-00,24.06896551724138,4,1.4615517258644104,0
2019-08-29-19-01,26.482758620689655,5,1.5413103576364189,0
2019-08-29-19-02,60.39655172413793,12,1.59415517387719,0
2019-08-29-19-03,22.637931034482758,4,1.3842413774852096,0
2019-08-29-19-04,8.241379310344827,1,1.2767068990345658,0
2019-08-29-19-05,0.0,0,1.0,0
2019-08-29-19-06,28.844827586206897,5,1.516603445184642,0
2019-08-29-19-07,40.86206896551724,8,1.7732586244056965,0
2019-08-29-19-08,61.05172413793103,12,1.800465513919962,0
2019-08-29-19-09,0.0,0,1.0,0
2019-08-29-19-10,44.60344827586207,8,1.6541724102250461,0
2019-08-29-19-11,56.06896551724138,11,1.9478275775909424,0
2019-08-29-19-12,18.67241379310345,3,1.585362064427343,0
2019-08-29-22-21,39.0,7,1.656000018119812,0
2019-08-29-22-33,0.0,0,1.0,0
2019-08-30-01-42,0.0,0,1.0,0
2019-08-30-01-43,0.0,0,1.0,0
2019-08-30-01-44,0.0,0,1.0,0
2019-08-30-02-11,0.0,0,1.0,0
2019-08-30-02-12,0.0,0,1.0,0
2019-08-30-02-14,0.0,0,1.0,0
2019-08-30-02-15,0.0,0,1.0,0
2019-08-30-02-16,13.827586206896552,2,1.2124137940077946,0
2019-08-30-02-17,25.25862068965517,5,1.5808793121370777,0
2019-08-30-02-18,16.79310344827586,3,1.5357758587804333,0
2019-08-30-02-19,27.637931034482758,5,1.7038965512966286,0
2019-08-30-15-19,0.0,0,1.0,0
2019-08-30-15-20,0.0,0,1.0,0
2019-08-30-15-21,0.0,0,1.0,0
2019-08-30-15-22,0.0,0,1.0,0
2019-08-30-15-23,0.0,0,1.0,0
2019-08-30-15-24,0.0,0,1.0,0
2019-08-30-15-25,0.0,0,1.0,0
2019-08-30-15-26,18.086206896551722,3,1.369017243385315,0
2019-08-30-15-27,44.12068965517241,8,1.565931040665199,0
2019-08-30-15-28,54.43103448275862,10,1.8660862116978085,0
2019-08-30-15-29,92.91379310344827,18,1.8047931009325489,0
2019-08-30-15-30,66.56896551724138,13,1.84963792768018,0
2019-08-30-15-31,103.48275862068965,20,1.745982757930098,0
2019-08-30-15-32,34.310344827586206,6,1.6586724129216424,0
2019-08-30-15-33,40.689655172413794,8,1.7773965535492733,0
2019-08-30-15-34,15.454545454545455,3,1.2694999982010235,0
2019-08-30-15-35,46.39655172413793,9,1.7432586160199395,0
2019-08-30-15-37,47.029411764705884,9,1.4976764671942766,0
2019-08-30-15-38,25.43103448275862,5,1.5053448245443146,0
2019-08-30-15-39,0.9310344827586207,0,1.0620344856689716,0
